station_name,borough,borough_standardized,system,full_name
Waterloo,Lambeth,Lambeth,Tube,Waterloo tube station
Colliers Wood,Merton,Merton,Tube,Colliers Wood tube station
Morden,Merton,Merton,Tube,Morden tube station
South Wimbledon,Merton,Merton,Tube,South Wimbledon tube station
Wimbledon,Merton,Merton,Tube,Wimbledon station
Wimbledon Park,Merton,Merton,Tube,Wimbledon Park tube station
Beckton,Newham,Newham,Tube,Beckton tube station
Canning Town,Newham,Newham,Tube,Canning Town station
East Ham,Newham,Newham,Tube,East Ham tube station
Plaistow,Newham,Newham,Tube,Plaistow tube station
Stratford,Newham,Newham,Tube,Stratford station
Upton Park,Newham,Newham,Tube,Upton Park tube station
West Ham,Newham,Newham,Tube,West Ham station
Barkingside,Redbridge,Redbridge,Tube,Barkingside tube station
Fairlop,Redbridge,Redbridge,Tube,Fairlop tube station
Gants Hill,Redbridge,Redbridge,Tube,Gants Hill tube station
Hainault,Redbridge,Redbridge,Tube,Hainault tube station
Newbury Park,Redbridge,Redbridge,Tube,Newbury Park tube station
Redbridge,Redbridge,Redbridge,Tube,Redbridge tube station
Snaresbrook,Redbridge,Redbridge,Tube,Snaresbrook tube station
South Woodford,Redbridge,Redbridge,Tube,South Woodford tube station
Wanstead,Redbridge,Redbridge,Tube,Wanstead tube station
Woodford,Redbridge,Redbridge,Tube,Woodford tube station
Kew Gardens,Richmond upon Thames,Richmond upon Thames,Tube,Kew Gardens station (London)
Richmond,Richmond upon Thames,Richmond upon Thames,Tube,Richmond station (London)
Bermondsey,Southwark,Southwark,Tube,Bermondsey tube station
Borough,Southwark,Southwark,Tube,Borough tube station
Canada Water,Southwark,Southwark,Tube,Canada Water station
Elephant & Castle,Southwark,Southwark,Tube,Elephant & Castle tube station
Kennington,Southwark,Southwark,Tube,Kennington tube station
London Bridge,Southwark,Southwark,Tube,London Bridge station
Southwark,Southwark,Southwark,Tube,Southwark tube station
Surrey Docks North,Southwark,Southwark,Tube,Surrey Docks North tube station
Aldgate East,Tower Hamlets,Tower Hamlets,Tube,Aldgate East tube station
Bethnal Green,Tower Hamlets,Tower Hamlets,Tube,Bethnal Green tube station
Bow Road,Tower Hamlets,Tower Hamlets,Tube,Bow Road tube station
Bromley-by-Bow,Tower Hamlets,Tower Hamlets,Tube,Bromley-by-Bow tube station
Canary Wharf,Tower Hamlets,Tower Hamlets,Tube,Canary Wharf tube station
Mile End,Tower Hamlets,Tower Hamlets,Tube,Mile End tube station
Millwall,Tower Hamlets,Tower Hamlets,Tube,Millwall tube station
St Katharine Docks,Tower Hamlets,Tower Hamlets,Tube,St Katharine Docks tube station
Stepney Green,Tower Hamlets,Tower Hamlets,Tube,Stepney Green tube station
Tower Hill,Tower Hamlets,Tower Hamlets,Tube,Tower Hill tube station
Whitechapel,Tower Hamlets,Tower Hamlets,Tube,Whitechapel station
Blackhorse Road,Waltham Forest,Waltham Forest,Tube,Blackhorse Road station
Leyton,Waltham Forest,Waltham Forest,Tube,Leyton tube station
Leytonstone,Waltham Forest,Waltham Forest,Tube,Leytonstone tube station
Walthamstow Central,Waltham Forest,Waltham Forest,Tube,Walthamstow Central station
Balham,Wandsworth,Wandsworth,Tube,Balham station
Battersea Power,Wandsworth,Wandsworth,Tube,Battersea Power Station tube station
Clapham South,Wandsworth,Wandsworth,Tube,Clapham South tube station
East Putney,Wandsworth,Wandsworth,Tube,East Putney tube station
Southfields,Wandsworth,Wandsworth,Tube,Southfields tube station
Tooting Bec,Wandsworth,Wandsworth,Tube,Tooting Bec tube station
Tooting Broadway,Wandsworth,Wandsworth,Tube,Tooting Broadway tube station
Baker Street,Westminster,Westminster,Tube,Baker Street tube station
Bayswater,Westminster,Westminster,Tube,Bayswater tube station
Bond Street,Westminster,Westminster,Tube,Bond Street station
Charing Cross,Westminster,Westminster,Tube,Charing Cross tube station
Covent Garden,Westminster,Westminster,Tube,Covent Garden tube station
Edgware Road (Bak),Westminster,Westminster,Tube,Edgware Road tube station (Bakerloo line)
Edgware Road (Cir),Westminster,Westminster,Tube,"Edgware Road tube station (Circle, District and Hammersmith & City lines)"
Embankment,Westminster,Westminster,Tube,Embankment tube station
Great Portland Street,Westminster,Westminster,Tube,Great Portland Street tube station
Green Park,Westminster,Westminster,Tube,Green Park tube station
Hyde Park Corner,Westminster,Westminster,Tube,Hyde Park Corner tube station
Lancaster Gate,Westminster,Westminster,Tube,Lancaster Gate tube station
Leicester Square,Westminster,Westminster,Tube,Leicester Square tube station
London Victoria,Westminster,Westminster,Tube,London Victoria station
Maida Vale,Westminster,Westminster,Tube,Maida Vale tube station
Marble Arch,Westminster,Westminster,Tube,Marble Arch tube station
Marylebone,Westminster,Westminster,Tube,Marylebone station
Oxford Circus,Westminster,Westminster,Tube,Oxford Circus tube station
Paddington,Westminster,Westminster,Tube,"Paddington tube station (Bakerloo, Circle and District lines)"
